#HJD          dMag   Err    Fil
2456874.71521 1.1468 0.0022 I 
2456874.71535 1.1431 0.0022 I 
2456874.71549 1.1364 0.0022 I 
2456874.71563 1.1302 0.0021 I 
2456874.71577 1.1371 0.0021 I 
2456874.71590 1.1360 0.0021 I 
2456874.71604 1.1492 0.0021 I 
2456874.71618 1.1488 0.0021 I 
2456874.71632 1.1370 0.0022 I 
2456874.71646 1.1410 0.0021 I 
2456874.71660 1.1563 0.0022 I 
2456874.71673 1.1242 0.0021 I 
2456874.71687 1.1424 0.0022 I 
2456874.71701 1.1381 0.0021 I 
2456874.71715 1.1476 0.0022 I 
2456874.71729 1.1398 0.0021 I 
2456874.71743 1.1405 0.0021 I 
2456874.71756 1.1487 0.0021 I 
2456874.71770 1.1330 0.0021 I 
2456874.71784 1.1477 0.0022 I 
2456874.71798 1.1539 0.0022 I 
2456874.71812 1.1429 0.0023 I 
